tasks,variants,memory,xml,generator,description
1,520001,57663488,351,127,759
1,521001,57663488,351,126,757
1,522001,57663488,351,126,761
1,523001,57663488,351,127,761
1,524001,57663488,351,127,757
1,525001,57663488,351,127,763
1,526001,57663488,351,126,761
1,527001,57663488,351,127,759
1,528001,57663488,351,127,754
1,529001,57663488,351,126,761
1,530001,57663488,351,126,759
1,531001,57663488,351,126,760
1,532001,57663488,351,126,760
1,533001,57663488,351,125,773
1,534001,57663488,351,126,760
1,535001,57663488,351,125,906
1,536001,57663488,351,126,759
1,537001,57663488,351,126,759
1,538001,57663488,351,126,759
1,539001,57663488,351,128,759
1,540001,57663488,351,127,759
1,541001,57663488,351,127,775
1,542001,57663488,351,126,781
1,543001,57663488,351,125,761
1,544001,57663488,351,127,760
1,545001,57663488,351,125,761
1,546001,57663488,351,131,763
1,547001,57663488,351,126,760
1,548001,57663488,351,127,759
1,549001,57663488,351,125,758
1,550001,57663488,351,126,755
1,551001,57663488,351,125,771
1,552001,57663488,351,125,758
1,553001,57663488,351,125,759
1,554001,57663488,351,125,761
1,555001,57663488,351,127,762
1,556001,57663488,351,127,767
1,557001,57663488,351,127,756
1,558001,57663488,351,127,768
1,559001,57663488,351,126,786
1,560001,57663488,351,250,1143
1,561001,57663488,351,128,765
1,562001,57663488,351,126,851
1,563001,57663488,351,127,757
1,564001,57663488,351,127,765
1,565001,57663488,351,270,1465
1,566001,57663488,351,128,759
1,567001,57663488,351,126,776
1,568001,57663488,351,126,767
1,569001,57663488,351,283,1570
1,570001,57663488,351,126,758
1,571001,57663488,351,127,760
1,572001,57663488,351,156,765
1,573001,57663488,351,128,766
1,574001,57663488,351,126,760
1,575001,57663488,351,126,756
1,576001,57663488,351,140,769
1,577001,57663488,351,125,771
1,578001,57663488,351,126,764
1,579001,57663488,351,127,759
1,580001,57663488,351,127,763
1,581001,57663488,351,278,1579
1,582001,57663488,351,127,759
1,583001,57663488,351,127,937
1,584001,57663488,351,126,766
1,585001,57663488,351,126,763
1,586001,57663488,351,128,768
1,587001,57663488,351,229,1110
1,588001,57663488,351,126,758
1,589001,57663488,351,126,761
1,590001,57663488,351,126,760
1,591001,57663488,351,127,759
1,592001,57663488,351,126,757
1,593001,57663488,351,128,761
1,594001,57663488,351,126,759
1,595001,57663488,351,127,760
1,596001,57663488,351,127,758
1,597001,57663488,351,127,763
1,598001,57663488,351,127,761
1,599001,57663488,351,242,1040
1,600001,57663488,351,127,757
1,601001,57663488,351,127,763
1,602001,57663488,351,274,1474
1,603001,57663488,351,127,759
1,604001,57663488,351,128,887
1,605001,57663488,351,126,757
1,606001,57663488,351,125,760
1,607001,57663488,351,127,759
1,608001,57663488,351,128,785
1,609001,57663488,351,220,771
1,610001,57663488,351,126,758
1,611001,57663488,351,127,758
1,612001,57663488,351,127,755
1,613001,57663488,351,127,762
1,614001,57663488,351,126,760
1,615001,57663488,351,128,758
1,616001,57663488,351,126,754
1,617001,57663488,351,126,757
1,618001,57663488,351,127,762
1,619001,57663488,351,126,779
1,620001,57663488,351,217,799
1,621001,57663488,351,135,759
1,622001,57663488,351,126,762
1,623001,57663488,351,125,754
1,624001,57663488,351,125,759
1,625001,57663488,351,127,765
1,626001,57663488,351,128,761
1,627001,57663488,351,127,758
1,628001,57663488,351,126,764
1,629001,57663488,351,125,758
1,630001,57663488,351,127,763
1,631001,57663488,351,126,759
1,632001,57663488,351,127,759
1,633001,57663488,351,127,762
1,634001,57663488,351,126,769
1,635001,57663488,351,127,759
1,636001,57663488,351,128,756
1,637001,57663488,351,126,762
1,638001,57663488,351,125,755
1,639001,57663488,351,126,759
1,640001,57663488,351,125,763
1,641001,57663488,351,125,760
1,642001,57663488,351,126,795
1,643001,57663488,351,128,759
1,644001,57663488,351,126,759
1,645001,57663488,351,127,756
1,646001,57663488,351,125,759
1,647001,57663488,351,127,754
1,648001,57663488,351,127,788
1,649001,57663488,351,127,759
1,650001,57663488,351,128,779
1,651001,57663488,351,270,1480
1,652001,57663488,351,126,762
1,653001,57663488,351,126,758
1,654001,57663488,351,127,760
1,655001,57663488,351,127,759
1,656001,57663488,351,126,759
1,657001,57663488,351,126,760
1,658001,57663488,351,125,759
1,659001,57663488,351,126,762
1,660001,57663488,351,125,763
1,661001,57663488,351,128,793
1,662001,57663488,351,128,758
1,663001,57663488,351,127,771
1,664001,57663488,351,128,755
1,665001,57663488,351,127,759
1,666001,57663488,351,126,792
1,667001,57663488,351,126,759
1,668001,57663488,351,125,770
1,669001,57663488,351,129,754
1,670001,57663488,351,126,765
1,671001,57663488,351,126,762
1,672001,57663488,351,128,766
1,673001,57663488,351,127,912
1,674001,57663488,351,126,759
1,675001,57663488,351,126,759
1,676001,57663488,351,126,762
1,677001,57663488,351,126,759
1,678001,57663488,351,125,894
1,679001,57663488,351,127,785
1,680001,57663488,351,126,759
1,681001,57663488,351,127,759
1,682001,57663488,351,126,758
1,683001,57663488,351,127,755
1,684001,57663488,351,126,764
1,685001,57663488,351,127,759
1,686001,57663488,351,127,769
1,687001,57663488,351,126,759
1,688001,57663488,351,127,765
1,689001,57663488,351,128,761
1,690001,57663488,351,127,771
1,691001,57663488,351,127,762
1,692001,57663488,351,127,760
1,693001,57663488,351,126,759
1,694001,57663488,351,126,759
1,695001,57663488,351,126,760
1,696001,57663488,351,127,852
1,697001,57663488,351,126,758
1,698001,57663488,351,125,757
1,699001,57663488,351,128,756
1,700001,57663488,351,126,985
1,701001,57663488,351,126,765
1,702001,57663488,351,264,1492
1,703001,57663488,351,126,759
1,704001,57663488,351,127,762
1,705001,57663488,351,127,762
1,706001,57663488,351,126,759
1,707001,57663488,351,128,760
1,708001,57663488,351,126,765
1,709001,57663488,351,127,758
1,710001,57663488,351,126,760
1,711001,57663488,351,127,759
1,712001,57663488,351,128,755
1,713001,57663488,351,127,761
1,714001,57663488,351,126,756
1,715001,57663488,351,126,759
1,716001,57663488,351,126,757
1,717001,57663488,351,137,790
1,718001,57663488,351,134,762
1,719001,57663488,351,127,759
1,720001,57663488,351,126,764
1,721001,57663488,351,127,759
1,722001,57663488,351,127,759
1,723001,57663488,351,126,760
1,724001,57663488,351,126,765
1,725001,57663488,351,127,757
1,726001,57663488,351,127,762
1,727001,57663488,351,127,756
1,728001,57663488,351,126,759
1,729001,57663488,351,125,765
1,730001,57663488,351,127,762
1,731001,57663488,351,126,758
1,732001,57663488,351,127,762
1,733001,57663488,351,128,823
1,734001,57663488,351,127,758
1,735001,57663488,351,127,761
1,736001,57663488,351,126,759
1,737001,57663488,351,126,761
1,738001,57663488,351,125,759
1,739001,57663488,351,127,764
1,740001,57663488,351,128,759
1,741001,57663488,351,126,760
1,742001,57663488,351,126,759
1,743001,57663488,351,127,755
1,744001,57663488,351,127,761
1,745001,57663488,351,127,784
1,746001,57663488,351,127,759
1,747001,57663488,351,127,804
1,748001,57663488,351,126,762
1,749001,57663488,351,176,763
1,750001,57663488,351,126,760
1,751001,57663488,351,125,765
1,752001,57663488,351,125,877
1,753001,57663488,351,126,760
1,754001,57663488,351,127,757
1,755001,57663488,351,127,768
1,756001,57663488,351,126,759
1,757001,57663488,351,126,759
1,758001,57663488,351,126,761
1,759001,57663488,351,127,757
1,760001,57663488,351,126,872
1,761001,57663488,351,127,758
1,762001,57663488,351,126,815
1,763001,57663488,351,127,759
1,764001,57663488,351,128,765
1,765001,57663488,351,128,763
1,766001,57663488,351,125,758
1,767001,57663488,351,126,759
1,768001,57663488,351,209,929
1,769001,57663488,351,127,837
1,770001,57663488,351,127,757
1,771001,57663488,351,126,762
1,772001,57663488,351,126,754
1,773001,57663488,351,227,1251
1,774001,57663488,351,127,762
1,775001,57663488,351,126,786
1,776001,57663488,351,128,755
1,777001,57663488,351,128,755
1,778001,57663488,351,127,759
1,779001,57663488,351,127,761
1,780001,57663488,351,127,758
1,781001,57663488,351,125,799
1,782001,57663488,351,127,763
1,783001,57663488,351,128,773
1,784001,57663488,351,126,774
1,785001,57663488,351,125,770
1,786001,57663488,351,127,761
1,787001,57663488,351,126,757
1,788001,57663488,351,127,788
1,789001,57663488,351,126,754
1,790001,57663488,351,127,761
1,791001,57663488,351,127,759
1,792001,57663488,351,127,778
1,793001,57663488,351,126,760
1,794001,57663488,351,125,762
1,795001,57663488,351,127,760
1,796001,57663488,351,125,761
1,797001,57663488,351,125,759
1,798001,57663488,351,125,763
1,799001,57663488,351,127,760
1,800001,57663488,351,127,762
1,801001,57663488,351,127,763
1,802001,57663488,351,127,763
1,803001,57663488,351,127,759
1,804001,57663488,351,126,764
1,805001,57663488,351,127,763
1,806001,57663488,351,128,764
1,807001,57663488,351,126,765
1,808001,57663488,351,264,1447
1,809001,57663488,351,128,760
1,810001,57663488,351,125,771
1,811001,57663488,351,127,764
1,812001,57663488,351,126,756
1,813001,57663488,351,126,758
1,814001,57663488,351,127,759
1,815001,57663488,351,126,760
1,816001,57663488,351,126,760
1,817001,57663488,351,126,761
1,818001,57663488,351,125,759
1,819001,57663488,351,218,759
1,820001,57663488,351,127,763
1,821001,57663488,351,126,1329
1,822001,57663488,351,125,765
1,823001,57663488,351,127,759
1,824001,57663488,351,126,887
